policy_id,insured_id,sub_sector,primary_regulator,region,inception_date,expiration_date,policy_year,revenue_mm,employees,assets_mm,limit_mm,retention_mm,premium_usd,has_trading_desk,processes_payments,custodial_aum_bn,core_banking_vendor,n_third_party_vendors,cloud_provider_primary,mfa_coverage_pct,edr_deployed,soc_24_7,control_maturity_nist,prior_incidents_3yr,n_claims,total_loss,bi_loss,n_findings,n_high_sev,n_med_sev,had_claim,log_revenue
POL-2020239,INS-10239,Hedge Fund,CFPB,National,2024-07-22,2025-07-22,2024,220.9,1362,558.6,50,0.772,967376,True,False,0.0,,11,Azure,82.1,True,False,4.2,0,0.0,0.0,0.0,1.0,0.0,0.0,0,5.402226829938548
POL-2020240,INS-10240,Regional Bank,OCC,Midwest,2022-01-04,2023-01-04,2022,2125.2,9392,28259.0,5,0.156,2516935,False,True,0.0,Finastra,76,Hybrid,92.5,False,True,3.8,1,0.0,0.0,0.0,1.0,0.0,0.0,0,7.662091627854505
POL-2020241,INS-10241,Fintech-Payments,CFPB,Southwest,2020-11-09,2021-11-09,2020,426.1,946,979.6,25,1.245,1982627,False,True,0.0,,37,Azure,75.5,True,False,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,6.057018177847421
POL-2020242,INS-10242,Investment Bank,FDIC,Southeast,2024-11-13,2025-11-13,2024,4043.7,35462,40141.9,1,0.036,2297330,True,False,0.0,In-House,33,AWS,93.0,True,True,2.8,0,0.0,0.0,0.0,2.0,1.0,0.0,0,8.305162661105596
POL-2020243,INS-10243,Insurance Carrier,FDIC,Northeast,2021-12-13,2022-12-13,2021,9424.0,32966,20915.6,25,0.147,27501021,False,False,0.0,,43,GCP,81.0,True,False,2.3,0,0.0,0.0,0.0,3.0,0.0,2.0,0,9.151121012316212
POL-2020244,INS-10244,Regional Bank,FDIC,West,2020-03-14,2021-03-14,2020,3971.0,17493,47979.0,5,0.087,4607553,False,True,0.0,Temenos,13,AWS,51.6,True,True,2.5,0,0.0,0.0,0.0,1.0,1.0,0.0,0,8.287025025165063
POL-2020245,INS-10245,Regional Bank,SEC,Southwest,2024-06-28,2025-06-28,2024,578.4,1471,5423.4,5,0.219,664063,False,True,0.0,Temenos,54,AWS,72.5,True,True,3.3,1,0.0,0.0,0.0,0.0,0.0,0.0,0,6.36199308533525
POL-2020246,INS-10246,Custodian Bank,OCC,Southeast,2021-10-17,2022-10-17,2021,5187.0,19179,44586.0,250,12.223,63244521,False,False,12.4,Jack Henry,42,GCP,80.5,True,True,1.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.554103545436334
POL-2020247,INS-10247,Community Bank,FDIC,Midwest,2022-07-10,2023-07-10,2022,67.4,243,995.8,10,0.488,101522,False,True,0.0,Jack Henry,27,Azure,77.2,True,True,2.3,0,1.0,55628.0,13457.0,3.0,1.0,2.0,1,4.225372824628505
POL-2020248,INS-10248,Broker-Dealer,FINRA,West,2023-02-05,2024-02-05,2023,447.9,1316,636.5,5,0.177,463768,True,False,0.0,,11,On-Prem,75.7,True,True,1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.106800145787886
POL-2020249,INS-10249,Community Bank,FINRA,Southwest,2024-03-10,2025-03-10,2024,70.8,245,637.8,5,0.156,64757,False,True,0.0,Jack Henry,42,Azure,60.1,False,False,1.5,1,0.0,0.0,0.0,0.0,0.0,0.0,0,4.273884476054178
POL-2020250,INS-10250,Community Bank,State,Midwest,2023-10-26,2024-10-25,2023,61.2,152,775.4,2,0.075,33060,False,True,0.0,Other,5,On-Prem,80.6,True,False,2.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.130354999745133
POL-2020251,INS-10251,Community Bank,OCC,National,2024-03-22,2025-03-22,2024,128.6,1016,1783.4,25,0.679,306592,False,True,0.0,Temenos,31,Azure,89.6,True,True,4.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.864452783918174
POL-2020252,INS-10252,Insurance Carrier,SEC,Southeast,2023-11-16,2024-11-15,2023,2682.9,11917,6142.5,2,0.062,1564935,False,False,0.0,,12,GCP,95.8,True,False,3.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.8950262395733395
POL-2020253,INS-10253,Fintech-Payments,CFPB,West,2020-08-20,2021-08-20,2020,200.5,557,315.1,10,0.132,513831,False,True,0.0,,18,Hybrid,71.7,False,False,2.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.305789381386738
POL-2020254,INS-10254,Investment Bank,FDIC,Northeast,2020-06-23,2021-06-23,2020,4769.7,22403,45519.8,50,0.644,28556780,True,False,0.0,FIS,48,Azure,87.2,True,True,3.7,1,0.0,0.0,0.0,3.0,0.0,1.0,0,8.47024832363969
POL-2020255,INS-10255,Broker-Dealer,FINRA,Midwest,2020-10-21,2021-10-21,2020,1478.2,2565,4200.3,15,0.138,3461965,False,False,0.0,,20,On-Prem,87.1,True,True,4.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.299256680072915
POL-2020256,INS-10256,Community Bank,FINRA,Southwest,2024-09-19,2025-09-19,2024,68.5,91,917.0,15,0.478,141516,False,True,0.0,Jack Henry,22,On-Prem,90.2,True,False,2.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.241326752570746
POL-2020257,INS-10257,Insurance Carrier,SEC,Southwest,2021-06-01,2022-06-01,2021,1624.6,8836,1787.8,10,0.279,2498911,False,False,0.0,,39,AWS,87.8,True,False,1.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.393632257384163
POL-2020258,INS-10258,Regional Bank,NCUA,Midwest,2022-06-15,2023-06-15,2022,527.8,1680,4863.4,25,0.809,1301072,False,True,0.0,Temenos,43,AWS,91.2,True,False,3.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.270610288537476
POL-2020259,INS-10259,Community Bank,OCC,Midwest,2022-01-26,2023-01-26,2022,59.3,312,501.9,15,0.702,100630,False,True,0.0,In-House,145,AWS,87.3,True,True,3.7,0,0.0,0.0,0.0,3.0,0.0,2.0,0,4.09933210373314
POL-2020260,INS-10260,Custodian Bank,FDIC,Southwest,2021-09-06,2022-09-06,2021,7952.8,59803,116350.5,100,1.929,54464495,False,False,32.4,Temenos,43,Azure,75.0,True,False,4.5,0,0.0,0.0,0.0,1.0,0.0,1.0,0,8.981405080870163
POL-2020261,INS-10261,Community Bank,FINRA,Southwest,2023-07-01,2024-06-30,2023,53.9,196,560.8,15,0.374,87365,False,True,0.0,Finastra,22,On-Prem,69.8,True,False,2.2,1,0.0,0.0,0.0,1.0,0.0,1.0,0,4.005513348515485
POL-2020262,INS-10262,Community Bank,FRB,Midwest,2020-10-04,2021-10-04,2020,28.8,115,381.8,25,0.655,72876,False,True,0.0,Jack Henry,48,Azure,83.5,True,True,3.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.3945083935113587
POL-2020263,INS-10263,Fintech-Lending,SEC,Southwest,2024-11-11,2025-11-11,2024,310.6,794,860.1,10,0.235,646287,False,False,0.0,,82,Hybrid,82.0,True,True,2.8,0,1.0,324322.0,1321.0,0.0,0.0,0.0,1,5.741720313996593
POL-2020264,INS-10264,Asset Manager,FDIC,Midwest,2021-11-23,2022-11-23,2021,1026.4,8145,1917.0,25,0.449,2824331,True,False,0.4,,31,AWS,85.3,True,True,3.7,1,1.0,8607489.0,4892589.0,0.0,0.0,0.0,1,6.934786618033168
POL-2020265,INS-10265,National Bank,FDIC,Southwest,2021-09-13,2022-09-13,2021,22547.4,120893,182085.5,50,1.149,102801236,False,True,0.0,Temenos,41,Azure,78.9,True,True,2.3,1,1.0,8181302.0,4055018.0,3.0,0.0,0.0,1,10.023419388976704
POL-2020266,INS-10266,Credit Union,NCUA,Southeast,2021-09-06,2022-09-06,2021,66.7,283,154.6,10,0.382,73252,False,True,0.0,Fiserv,19,GCP,75.1,True,False,3.5,2,0.0,0.0,0.0,1.0,0.0,1.0,0,4.215086179918229
POL-2020267,INS-10267,Fintech-Lending,CFPB,West,2020-08-05,2021-08-05,2020,193.3,753,213.7,2,0.041,134091,False,False,0.0,,47,Hybrid,54.5,True,True,3.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.269403356383394
POL-2020268,INS-10268,Asset Manager,OCC,Southeast,2023-08-06,2024-08-05,2023,353.5,1679,609.8,1,0.026,129568,True,False,14.2,,20,GCP,87.4,True,True,2.4,1,1.0,1308264.0,229097.0,0.0,0.0,0.0,1,5.870708345972182
POL-2020269,INS-10269,Community Bank,NCUA,West,2023-10-24,2024-10-23,2023,159.2,529,1785.2,25,1.052,366697,False,True,0.0,Finastra,45,AWS,78.8,True,True,3.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.076423034634259
POL-2020270,INS-10270,Hedge Fund,NCUA,Southwest,2022-09-27,2023-09-27,2022,71.1,218,209.2,25,0.306,259411,True,False,0.0,,131,AWS,92.8,True,False,3.0,1,2.0,285644.0,44851.0,1.0,1.0,0.0,1,4.278054044290903
POL-2020271,INS-10271,Community Bank,FDIC,Southwest,2020-08-09,2021-08-09,2020,68.0,211,940.8,5,0.149,60028,False,True,0.0,Other,46,AWS,91.0,True,True,2.9,0,2.0,605603.0,7045.0,4.0,2.0,1.0,1,4.23410650459726
POL-2020272,INS-10272,Fintech-Payments,SEC,National,2024-12-12,2025-12-12,2024,775.6,5190,1057.6,50,0.408,4530113,False,True,0.0,,42,On-Prem,92.5,True,True,2.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.654925417297567
POL-2020273,INS-10273,Community Bank,SEC,West,2021-01-19,2022-01-19,2021,78.1,166,745.3,5,0.19,82454,False,True,0.0,Finastra,39,Azure,69.1,True,False,2.7,1,0.0,0.0,0.0,0.0,0.0,0.0,0,4.370712874773608
POL-2020274,INS-10274,Community Bank,FRB,Southwest,2022-09-22,2023-09-22,2022,123.3,615,1452.7,25,0.29,329266,False,True,0.0,FIS,27,GCP,88.8,False,True,3.5,0,0.0,0.0,0.0,3.0,0.0,3.0,0,4.822697998516666
POL-2020275,INS-10275,Fintech-Lending,State,National,2021-03-23,2022-03-23,2021,65.8,278,71.0,5,0.154,87867,False,False,0.0,,110,On-Prem,63.4,True,True,3.7,0,0.0,0.0,0.0,1.0,0.0,1.0,0,4.2017030805426
POL-2020276,INS-10276,Community Bank,FDIC,Southwest,2023-07-15,2024-07-14,2023,50.7,285,619.8,1,0.05,14769,False,True,0.0,Finastra,92,GCP,95.7,True,False,3.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.9454577815143836
POL-2020277,INS-10277,Asset Manager,FDIC,Southwest,2023-06-19,2024-06-18,2023,445.5,1591,520.5,1,0.025,195434,True,False,69.7,,22,GCP,80.0,False,False,2.2,0,1.0,21607.0,1993.0,1.0,1.0,0.0,1,6.101439400316553
POL-2020278,INS-10278,National Bank,FRB,West,2023-04-16,2024-04-15,2023,24590.1,119715,205434.5,100,4.669,175659299,False,True,0.0,Finastra,24,Azure,88.0,True,True,3.0,1,1.0,262036.0,189189.0,0.0,0.0,0.0,1,10.110139867841276
POL-2020279,INS-10279,Community Bank,NCUA,Northeast,2020-01-04,2021-01-03,2020,78.9,328,931.8,10,0.229,126841,False,True,0.0,FIS,22,Azure,94.1,True,True,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.380775852772229
POL-2020280,INS-10280,Credit Union,NCUA,Midwest,2021-12-05,2022-12-05,2021,19.7,127,28.6,50,2.063,61256,False,True,0.0,Fiserv,26,GCP,90.7,True,True,1.0,0,1.0,33984.0,4193.0,0.0,0.0,0.0,1,3.0301337002713233
POL-2020281,INS-10281,Regional Bank,FINRA,Southwest,2021-01-13,2022-01-13,2021,505.1,2644,6888.6,10,0.123,795683,False,True,0.0,In-House,4,AWS,72.4,True,True,2.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0,6.226734278220032
POL-2020282,INS-10282,Asset Manager,NCUA,National,2021-10-08,2022-10-08,2021,312.7,1203,713.9,10,0.364,430448,True,False,4.0,,50,GCP,90.9,True,False,2.5,0,0.0,0.0,0.0,1.0,0.0,0.0,0,5.748437115196633
POL-2020283,INS-10283,Investment Bank,FDIC,Northeast,2021-08-03,2022-08-03,2021,9833.4,48343,105993.7,25,0.882,40740718,False,False,0.0,Jack Henry,48,GCP,91.5,False,True,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,9.193641722353131
POL-2020284,INS-10284,Fintech-Payments,SEC,West,2021-11-22,2022-11-22,2021,556.9,3480,879.3,2,0.062,550121,False,True,0.0,,205,AWS,96.2,True,True,2.5,1,1.0,4148.0,898.0,0.0,0.0,0.0,1,6.324179734851483
POL-2020285,INS-10285,National Bank,FDIC,National,2021-11-24,2022-11-24,2021,22350.3,105986,300759.4,250,10.512,289932991,False,True,0.0,Temenos,56,Azure,65.1,True,True,3.6,1,0.0,0.0,0.0,3.0,1.0,1.0,0,10.014639763898263
POL-2020286,INS-10286,Insurance Carrier,CFPB,Southeast,2024-12-13,2025-12-13,2024,8375.0,48350,12996.7,250,7.723,86679161,False,False,0.0,,18,Azure,79.1,True,True,2.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0,9.033125752550372
POL-2020287,INS-10287,Hedge Fund,OCC,National,2024-12-20,2025-12-20,2024,602.0,2742,1012.9,5,0.035,857319,False,False,0.0,,61,GCP,85.4,True,False,3.2,0,0.0,0.0,0.0,3.0,0.0,0.0,0,6.401917196727186
POL-2020288,INS-10288,Community Bank,FINRA,Southwest,2023-05-21,2024-05-20,2023,81.1,290,747.9,1,0.025,28652,False,True,0.0,Temenos,74,AWS,49.6,True,False,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.407938016458383
POL-2020289,INS-10289,Regional Bank,State,Midwest,2020-06-11,2021-06-11,2020,711.5,2068,7717.0,2,0.041,475836,False,True,0.0,Finastra,47,Azure,51.3,True,False,3.4,1,0.0,0.0,0.0,1.0,0.0,0.0,0,6.568779912142806
POL-2020290,INS-10290,Fintech-Payments,State,Northeast,2020-10-03,2021-10-03,2020,482.9,2049,745.6,1,0.025,232091,False,True,0.0,,55,AWS,78.2,False,True,3.2,0,0.0,0.0,0.0,1.0,0.0,1.0,0,6.181878273799273
POL-2020291,INS-10291,Community Bank,FDIC,National,2024-07-14,2025-07-14,2024,115.5,1004,1000.3,15,0.306,178407,False,True,0.0,Finastra,18,Hybrid,73.4,True,True,3.8,0,0.0,0.0,0.0,2.0,0.0,0.0,0,4.757891273005756
POL-2020292,INS-10292,Community Bank,CFPB,Southwest,2024-04-26,2025-04-26,2024,44.7,307,526.7,2,0.033,19633,False,True,0.0,Finastra,53,AWS,99.2,True,True,4.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0,3.822098297900159
POL-2020293,INS-10293,Credit Union,NCUA,Southwest,2021-01-08,2022-01-08,2021,58.0,213,78.5,1,0.025,16417,False,True,0.0,FIS,32,On-Prem,68.3,True,True,3.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.07753744390572
POL-2020294,INS-10294,Broker-Dealer,SEC,Midwest,2021-02-01,2022-02-01,2021,1933.4,5298,2448.5,15,0.535,4262567,True,False,0.0,,15,Hybrid,70.9,True,False,4.2,1,0.0,0.0,0.0,2.0,0.0,1.0,0,7.567552479860528
POL-2020295,INS-10295,Community Bank,SEC,National,2022-03-24,2023-03-24,2022,121.1,861,1210.0,25,0.335,243350,False,True,0.0,FIS,175,AWS,79.8,True,True,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.804840381116659
POL-2020296,INS-10296,Asset Manager,NCUA,Midwest,2022-12-19,2023-12-19,2022,4142.3,12815,6078.7,10,0.294,6465223,True,False,9.9,,16,AWS,82.5,True,True,2.2,0,0.0,0.0,0.0,2.0,1.0,1.0,0,8.329247850751992
POL-2020297,INS-10297,National Bank,OCC,National,2022-02-19,2023-02-19,2022,33002.5,184455,432714.0,25,1.036,108508395,False,True,0.0,Finastra,40,AWS,96.3,True,False,3.7,0,0.0,0.0,0.0,1.0,0.0,0.0,0,10.40436889543065
POL-2020298,INS-10298,Community Bank,FRB,Northeast,2023-06-13,2024-06-12,2023,227.6,783,2348.7,100,3.949,1340333,False,True,0.0,Finastra,29,On-Prem,52.6,True,True,3.8,0,0.0,0.0,0.0,1.0,0.0,1.0,0,5.43197375136071
POL-2020299,INS-10299,Credit Union,NCUA,Midwest,2022-05-27,2023-05-27,2022,65.1,284,73.2,1,0.049,20479,False,True,0.0,FIS,15,Hybrid,98.1,True,True,2.2,0,1.0,319153.0,44826.0,1.0,0.0,0.0,1,4.191168746857641
POL-2020300,INS-10300,Community Bank,NCUA,Midwest,2024-01-13,2025-01-12,2024,28.1,103,311.7,1,0.025,10300,False,True,0.0,Other,71,GCP,76.8,True,True,3.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.370738174177447
POL-2020301,INS-10301,Regional Bank,FINRA,Southwest,2021-05-19,2022-05-19,2021,684.2,7276,7092.8,25,0.779,1761562,False,True,0.0,Jack Henry,21,Hybrid,90.7,False,False,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,6.5297107664499645
POL-2020302,INS-10302,Fintech-Payments,CFPB,Northeast,2024-04-05,2025-04-05,2024,791.2,4925,1686.6,1,0.029,392499,False,True,0.0,,21,Azure,70.8,True,False,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.674813885187817
POL-2020303,INS-10303,Insurance Carrier,State,National,2020-06-01,2021-06-01,2020,1586.7,7769,3099.9,25,1.057,3621404,False,False,0.0,,108,GCP,82.9,True,True,3.7,0,1.0,37263.0,21467.0,2.0,0.0,2.0,1,7.370041707083466
POL-2020304,INS-10304,Community Bank,FDIC,Northeast,2023-01-05,2024-01-05,2023,47.5,226,603.5,15,0.467,96310,False,True,0.0,Fiserv,4,Hybrid,88.6,True,False,2.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.8815637979434374
POL-2020305,INS-10305,Asset Manager,State,West,2020-10-04,2021-10-04,2020,1484.4,13169,3264.1,10,0.221,1935133,True,False,2.1,,27,AWS,91.0,True,False,3.1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,7.303439375235196
POL-2020306,INS-10306,Community Bank,CFPB,Midwest,2022-06-26,2023-06-26,2022,153.6,491,1907.7,5,0.15,155833,False,True,0.0,Temenos,48,GCP,87.4,True,False,3.7,0,0.0,0.0,0.0,3.0,0.0,1.0,0,5.040841136153322
POL-2020307,INS-10307,Regional Bank,FRB,Southwest,2024-02-05,2025-02-04,2024,1225.8,10633,14992.2,2,0.027,609642,False,True,0.0,Jack Henry,37,On-Prem,92.8,True,True,3.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.112164432240096
POL-2020308,INS-10308,Fintech-Payments,State,Northeast,2023-05-15,2024-05-14,2023,284.0,912,509.9,5,0.112,365893,False,True,0.0,,3,Azure,91.3,True,True,3.4,0,1.0,177707.0,16203.0,1.0,0.0,0.0,1,5.652489180268651
POL-2020309,INS-10309,Insurance Carrier,CFPB,Southeast,2024-01-07,2025-01-06,2024,3411.7,10172,7218.3,25,0.762,10263050,False,False,0.0,,38,AWS,80.3,True,False,3.9,0,0.0,0.0,0.0,1.0,0.0,0.0,0,8.135259045834438
POL-2020310,INS-10310,National Bank,OCC,Southwest,2020-11-10,2021-11-10,2020,7487.0,31415,95760.2,50,1.056,42345981,False,True,0.0,Other,72,On-Prem,84.1,True,True,4.8,0,0.0,0.0,0.0,2.0,0.0,2.0,0,8.921057018157429
POL-2020311,INS-10311,Regional Bank,FINRA,Southeast,2020-03-04,2021-03-04,2020,675.8,3311,7266.2,1,0.038,244541,False,True,0.0,Fiserv,25,On-Prem,73.1,True,False,4.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.517375808292013
POL-2020312,INS-10312,Broker-Dealer,SEC,Northeast,2024-10-09,2025-10-09,2024,412.7,976,611.3,50,2.01,2336259,True,False,0.0,,34,Azure,96.4,False,True,2.7,1,0.0,0.0,0.0,1.0,0.0,1.0,0,6.025141073467366
POL-2020313,INS-10313,Regional Bank,OCC,Southeast,2022-02-02,2023-02-02,2022,1207.6,7809,10164.8,100,4.119,8316433,False,True,0.0,Finastra,41,On-Prem,71.3,True,True,3.7,1,0.0,0.0,0.0,0.0,0.0,0.0,0,7.097217943927458
POL-2020314,INS-10314,Regional Bank,FRB,Midwest,2023-03-12,2024-03-11,2023,141.7,385,2075.2,2,0.025,73282,False,True,0.0,Jack Henry,121,On-Prem,95.5,False,True,4.2,0,0.0,0.0,0.0,4.0,0.0,2.0,0,4.960744524482791
POL-2020315,INS-10315,Broker-Dealer,FINRA,Midwest,2021-11-10,2022-11-10,2021,250.0,959,355.1,10,0.299,472320,True,False,0.0,,12,On-Prem,92.1,True,True,3.8,1,0.0,0.0,0.0,0.0,0.0,0.0,0,5.5254529391317835
POL-2020316,INS-10316,Fintech-Lending,SEC,Northeast,2024-04-21,2025-04-21,2024,616.7,2221,1133.6,500,5.497,12749118,False,False,0.0,,233,On-Prem,53.7,True,True,1.5,1,0.0,0.0,0.0,1.0,0.0,0.0,0,6.426002902701853
POL-2020317,INS-10317,Hedge Fund,State,Northeast,2023-06-19,2024-06-18,2023,310.2,1603,366.9,10,0.128,614010,True,False,0.0,,36,GCP,62.5,True,True,3.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.740435792304236
POL-2020318,INS-10318,Fintech-Payments,SEC,Midwest,2022-01-26,2023-01-26,2022,399.0,1749,1045.5,500,22.54,9940426,False,True,0.0,,78,Hybrid,91.7,False,False,2.7,0,0.0,0.0,0.0,3.0,2.0,0.0,0,5.991464547107982
POL-2020319,INS-10319,Regional Bank,OCC,Southeast,2021-05-18,2022-05-18,2021,393.7,1136,4325.0,25,0.75,1080441,False,True,0.0,Finastra,14,On-Prem,75.0,True,False,1.9,0,0.0,0.0,0.0,2.0,1.0,1.0,0,5.978125982668802
POL-2020320,INS-10320,Fintech-Lending,SEC,National,2021-04-19,2022-04-19,2021,224.5,1474,524.8,5,0.028,335079,False,False,0.0,,24,GCP,69.0,False,True,3.6,2,0.0,0.0,0.0,0.0,0.0,0.0,0,5.418320158942733
POL-2020321,INS-10321,Insurance Carrier,FINRA,Southwest,2024-10-05,2025-10-05,2024,3563.2,16304,4547.5,10,0.165,4955848,False,False,0.0,,27,Hybrid,67.8,True,True,3.9,0,1.0,520873.0,27887.0,1.0,0.0,0.0,1,8.178694903738998
POL-2020322,INS-10322,Regional Bank,FRB,Northeast,2021-10-08,2022-10-08,2021,1013.4,2362,14736.7,1,0.049,410836,False,True,0.0,Jack Henry,23,Hybrid,92.2,True,True,3.1,0,1.0,67555.0,15366.0,1.0,0.0,1.0,1,6.922052583682961
POL-2020323,INS-10323,Insurance Carrier,FRB,Northeast,2022-01-01,2023-01-01,2022,4061.1,26197,8158.4,2,0.062,2139271,False,False,0.0,,67,Hybrid,95.7,False,False,2.7,0,0.0,0.0,0.0,2.0,0.0,2.0,0,8.309455360251876
POL-2020324,INS-10324,National Bank,OCC,Southeast,2023-10-04,2024-10-03,2023,8541.2,43370,113247.4,100,4.592,59955892,False,True,0.0,In-House,19,On-Prem,88.0,True,False,2.9,0,0.0,0.0,0.0,1.0,0.0,0.0,0,9.052773864847754
POL-2020325,INS-10325,Broker-Dealer,FINRA,West,2021-12-18,2022-12-18,2021,538.5,2388,1461.7,15,0.279,1422382,True,False,0.0,,39,Azure,73.2,True,False,2.2,0,0.0,0.0,0.0,1.0,0.0,1.0,0,6.290642784698189
POL-2020326,INS-10326,Community Bank,State,West,2021-12-01,2022-12-01,2021,162.0,690,2205.9,100,1.04,835157,False,True,0.0,FIS,194,Azure,77.3,True,False,3.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.093750200806762
POL-2020327,INS-10327,Credit Union,NCUA,Southwest,2021-11-19,2022-11-19,2021,54.8,330,150.5,2,0.071,24961,False,True,0.0,Fiserv,66,GCP,57.5,True,True,3.5,0,0.0,0.0,0.0,1.0,0.0,1.0,0,4.021773869387265
POL-2020328,INS-10328,Custodian Bank,FRB,Northeast,2021-11-03,2022-11-03,2021,5786.5,29460,64960.9,100,2.8,36680151,False,False,2.1,Jack Henry,44,Azure,69.8,True,True,4.2,1,0.0,0.0,0.0,3.0,0.0,0.0,0,8.66345569839449
POL-2020329,INS-10329,Community Bank,NCUA,National,2020-12-01,2021-12-01,2020,67.8,187,998.7,1,0.045,19922,False,True,0.0,Temenos,77,Azure,79.0,False,True,2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.231203744939298
POL-2020330,INS-10330,National Bank,OCC,Southwest,2024-07-04,2025-07-04,2024,20288.8,73017,213039.4,50,2.446,93925008,False,True,0.0,FIS,41,AWS,65.1,True,True,4.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,9.91787357569883
POL-2020331,INS-10331,Credit Union,NCUA,Southeast,2020-06-06,2021-06-06,2020,80.4,256,148.3,50,1.59,267980,False,True,0.0,In-House,20,AWS,93.2,True,False,4.8,0,0.0,0.0,0.0,2.0,0.0,0.0,0,4.399375273008495
POL-2020332,INS-10332,Regional Bank,State,National,2024-10-16,2025-10-16,2024,665.3,5151,9959.6,15,0.292,1347419,False,True,0.0,Fiserv,62,Hybrid,94.5,False,True,2.8,2,0.0,0.0,0.0,1.0,0.0,0.0,0,6.501740019568492
POL-2020333,INS-10333,Regional Bank,SEC,National,2021-04-14,2022-04-14,2021,691.8,2465,6111.4,15,0.702,1324418,False,True,0.0,Jack Henry,5,GCP,65.3,True,True,3.9,0,1.0,1923956.0,1232800.0,2.0,0.0,1.0,1,6.540741357248225
POL-2020334,INS-10334,Hedge Fund,State,National,2023-03-02,2024-03-01,2023,296.7,989,560.3,5,0.206,370044,True,False,0.0,,35,Hybrid,91.3,True,True,4.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.69608626802173
POL-2020335,INS-10335,Community Bank,SEC,Southwest,2022-02-16,2023-02-16,2022,89.9,187,780.5,25,1.241,241884,False,True,0.0,Temenos,15,On-Prem,96.6,False,True,2.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.509760001183433
POL-2020336,INS-10336,Broker-Dealer,FINRA,Northeast,2023-03-12,2024-03-11,2023,373.5,1089,513.3,50,0.776,1543084,True,False,0.0,,8,GCP,74.1,True,True,2.9,0,1.0,2054050.0,473233.0,0.0,0.0,0.0,1,5.925591802957274
POL-2020337,INS-10337,Fintech-Lending,SEC,Northeast,2024-01-05,2025-01-04,2024,137.5,485,219.4,25,1.198,435857,False,False,0.0,,14,AWS,80.0,True,False,3.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.930870325627393
POL-2020338,INS-10338,Investment Bank,FDIC,West,2024-04-18,2025-04-18,2024,7327.2,24306,107622.9,250,7.377,93120353,True,False,0.0,In-House,52,On-Prem,58.7,True,True,3.3,2,1.0,640377.0,208175.0,0.0,0.0,0.0,1,8.899485198557949
POL-2020339,INS-10339,Community Bank,FRB,Northeast,2023-12-02,2024-12-01,2023,52.8,147,567.8,10,0.18,69995,False,True,0.0,Other,12,On-Prem,88.2,True,False,2.4,1,0.0,0.0,0.0,1.0,0.0,1.0,0,3.9852734671677386
POL-2020340,INS-10340,Custodian Bank,FDIC,Southwest,2021-03-02,2022-03-02,2021,3895.0,18431,32245.5,5,0.148,3834302,False,False,5.3,Fiserv,18,Azure,76.4,True,True,3.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.267705664762426
POL-2020341,INS-10341,Credit Union,NCUA,West,2020-02-13,2021-02-12,2020,65.2,222,166.3,10,0.492,81764,False,True,0.0,Jack Henry,41,GCP,96.7,True,False,3.5,1,1.0,13796.0,0.0,0.0,0.0,0.0,1,4.192680462942962
