finding_id,insured_id,policy_id,examining_agency,exam_date,severity_label,control_area,finding_text
FND-50240,INS-10571,POL-2020571,FDIC,2021-10-12,Low,cloud security governance,"Examiners noted that the institution's information security program is generally satisfactory. Minor deficiencies were identified in cloud security governance, which management has committed to address by next examination cycle."
FND-50241,INS-10571,POL-2020571,FDIC,2022-05-20,Medium,vendor due diligence procedures,"Examiners identified deficiencies in the institution's vendor due diligence procedures. Specifically, the institution lacks documented procedures for periodic access recertification. Matters Requiring Attention (MRA) is being issued. Management response is required within 90 days."
FND-50242,INS-10015,POL-2020015,FRB,2022-06-18,Medium,patch management program,The examination identified weaknesses in patch management program that warrant management attention. Testing revealed that encryption of data at rest is not consistently performed across business lines. Remediation plan must be submitted.
FND-50243,INS-10015,POL-2020015,FRB,2022-09-10,Medium,vulnerability management,"Examiners identified deficiencies in the institution's vulnerability management. Specifically, the institution lacks documented procedures for segregation of duties in critical systems. Matters Requiring Attention (MRA) is being issued. Management response is required within 90 days."
FND-50244,INS-10494,POL-2020494,FRB,2022-09-25,Medium,logging and monitoring,An MRA has been issued related to logging and monitoring. Examiners found that controls over segregation of duties in critical systems are not commensurate with the institution's risk profile and complexity.
FND-50245,INS-10350,POL-2020350,FDIC,2021-12-17,Low,data loss prevention controls,The institution maintains adequate controls over data loss prevention controls. Examiners recommend continued enhancement of monitoring procedures but identified no significant concerns.
FND-50246,INS-10350,POL-2020350,FDIC,2023-02-07,Medium,patch management program,The examination identified weaknesses in patch management program that warrant management attention. Testing revealed that fourth-party risk assessment is not consistently performed across business lines. Remediation plan must be submitted.
FND-50247,INS-10350,POL-2020350,FDIC,2021-10-20,Medium,business continuity planning,"Examiners identified deficiencies in the institution's business continuity planning. Specifically, the institution lacks documented procedures for segregation of duties in critical systems. Matters Requiring Attention (MRA) is being issued. Management response is required within 90 days."
FND-50248,INS-10999,POL-2020999,FRB,2018-11-12,Medium,data classification and handling,An MRA has been issued related to data classification and handling. Examiners found that controls over log retention and review are not commensurate with the institution's risk profile and complexity.
FND-50249,INS-10274,POL-2020274,FRB,2022-05-31,Medium,incident response capabilities,An MRA has been issued related to incident response capabilities. Examiners found that controls over fourth-party risk assessment are not commensurate with the institution's risk profile and complexity.
FND-50250,INS-10274,POL-2020274,FRB,2022-03-23,Medium,data classification and handling,"Examiners identified deficiencies in the institution's data classification and handling. Specifically, the institution lacks documented procedures for log retention and review. Matters Requiring Attention (MRA) is being issued. Management response is required within 90 days."
FND-50251,INS-10274,POL-2020274,FRB,2021-12-16,Medium,incident response capabilities,"Examiners identified deficiencies in the institution's incident response capabilities. Specifically, the institution lacks documented procedures for log retention and review. Matters Requiring Attention (MRA) is being issued. Management response is required within 90 days."
FND-50252,INS-10091,POL-2021191,FDIC,2020-08-03,High,identity and access management,Examiners conclude that the institution's practices in identity and access management represent an unsafe and unsound condition. The institution has failed to documented recovery time objectives. A consent order is under consideration.
FND-50253,INS-10271,POL-2020271,FDIC,2019-12-17,High,business continuity planning,"Matters Requiring Immediate Attention (MRIA) issued. Examiners found significant weaknesses in business continuity planning, including failure to segregation of duties in critical systems. The Board must establish a remediation timeline within 30 days. Failure to remediate may result in formal enforcement action."
FND-50254,INS-10271,POL-2020271,FDIC,2019-04-16,Low,privileged access controls,Review of privileged access controls found policies and procedures to be consistent with regulatory expectations. Routine observations were communicated to management informally.
FND-50255,INS-10271,POL-2020271,FDIC,2019-07-12,High,data classification and handling,"Matters Requiring Immediate Attention (MRIA) issued. Examiners found significant weaknesses in data classification and handling, including failure to fourth-party risk assessment. The Board must establish a remediation timeline within 30 days. Failure to remediate may result in formal enforcement action."
FND-50256,INS-10271,POL-2020271,FDIC,2019-10-13,Medium,incident response capabilities,An MRA has been issued related to incident response capabilities. Examiners found that controls over multi-factor authentication for administrative access are not commensurate with the institution's risk profile and complexity.
FND-50257,INS-10373,POL-2021473,State,2020-08-26,Low,business continuity planning,"Examiners noted that the institution's information security program is generally satisfactory. Minor deficiencies were identified in business continuity planning, which management has committed to address by next examination cycle."
FND-50258,INS-10373,POL-2021473,State,2019-10-12,Medium,identity and access management,An MRA has been issued related to identity and access management. Examiners found that controls over testing of incident response procedures are not commensurate with the institution's risk profile and complexity.
FND-50259,INS-10237,POL-2020237,NCUA,2022-06-23,Medium,logging and monitoring,"Examiners identified deficiencies in the institution's logging and monitoring. Specifically, the institution lacks documented procedures for log retention and review. Matters Requiring Attention (MRA) is being issued. Management response is required within 90 days."
FND-50260,INS-10237,POL-2020237,NCUA,2023-10-20,Low,data loss prevention controls,The institution maintains adequate controls over data loss prevention controls. Examiners recommend continued enhancement of monitoring procedures but identified no significant concerns.
FND-50261,INS-10237,POL-2020237,NCUA,2022-06-17,Medium,data loss prevention controls,The examination identified weaknesses in data loss prevention controls that warrant management attention. Testing revealed that documented recovery time objectives is not consistently performed across business lines. Remediation plan must be submitted.
FND-50262,INS-10585,POL-2020585,NCUA,2020-03-08,Medium,logging and monitoring,"Examiners identified deficiencies in the institution's logging and monitoring. Specifically, the institution lacks documented procedures for documented recovery time objectives. Matters Requiring Attention (MRA) is being issued. Management response is required within 90 days."
FND-50263,INS-10585,POL-2020585,NCUA,2020-08-01,Low,privileged access controls,"Examiners noted that the institution's information security program is generally satisfactory. Minor deficiencies were identified in privileged access controls, which management has committed to address by next examination cycle."
FND-50264,INS-10212,POL-2021312,SEC,2022-08-05,Low,cloud security governance,"Examiners noted that the institution's information security program is generally satisfactory. Minor deficiencies were identified in cloud security governance, which management has committed to address by next examination cycle."
FND-50265,INS-10694,POL-2020694,FRB,2022-08-17,High,incident response capabilities,Examiners conclude that the institution's practices in incident response capabilities represent an unsafe and unsound condition. The institution has failed to encryption of data at rest. A consent order is under consideration.
FND-50266,INS-10694,POL-2020694,FRB,2022-06-09,Medium,patch management program,The examination identified weaknesses in patch management program that warrant management attention. Testing revealed that documented recovery time objectives is not consistently performed across business lines. Remediation plan must be submitted.
FND-50267,INS-11001,POL-2021001,FDIC,2024-01-04,Low,patch management program,"Examiners noted that the institution's information security program is generally satisfactory. Minor deficiencies were identified in patch management program, which management has committed to address by next examination cycle."
FND-50268,INS-11001,POL-2021001,FDIC,2022-09-30,Low,vendor due diligence procedures,The institution maintains adequate controls over vendor due diligence procedures. Examiners recommend continued enhancement of monitoring procedures but identified no significant concerns.
FND-50269,INS-11001,POL-2021001,FDIC,2022-09-24,Low,third-party risk management,"Examiners noted that the institution's information security program is generally satisfactory. Minor deficiencies were identified in third-party risk management, which management has committed to address by next examination cycle."
FND-50270,INS-10322,POL-2020322,FRB,2020-03-12,Medium,logging and monitoring,An MRA has been issued related to logging and monitoring. Examiners found that controls over remediation of known critical vulnerabilities are not commensurate with the institution's risk profile and complexity.
FND-50271,INS-10782,POL-2020782,CFPB,2020-10-12,Medium,cloud security governance,The examination identified weaknesses in cloud security governance that warrant management attention. Testing revealed that encryption of data at rest is not consistently performed across business lines. Remediation plan must be submitted.
FND-50272,INS-10782,POL-2020782,CFPB,2020-04-29,Medium,patch management program,The examination identified weaknesses in patch management program that warrant management attention. Testing revealed that encryption of data at rest is not consistently performed across business lines. Remediation plan must be submitted.
FND-50273,INS-10258,POL-2021358,FINRA,2023-08-16,Low,identity and access management,"Examiners noted that the institution's information security program is generally satisfactory. Minor deficiencies were identified in identity and access management, which management has committed to address by next examination cycle."
FND-50274,INS-10103,POL-2021203,FRB,2022-12-31,Low,cloud security governance,The institution maintains adequate controls over cloud security governance. Examiners recommend continued enhancement of monitoring procedures but identified no significant concerns.
FND-50275,INS-10103,POL-2021203,FRB,2023-04-25,Medium,business continuity planning,An MRA has been issued related to business continuity planning. Examiners found that controls over timely application of security patches are not commensurate with the institution's risk profile and complexity.
FND-50276,INS-10103,POL-2021203,FRB,2024-05-05,Low,identity and access management,"Examiners noted that the institution's information security program is generally satisfactory. Minor deficiencies were identified in identity and access management, which management has committed to address by next examination cycle."
FND-50277,INS-10103,POL-2021203,FRB,2024-02-19,Low,cloud security governance,"Examiners noted that the institution's information security program is generally satisfactory. Minor deficiencies were identified in cloud security governance, which management has committed to address by next examination cycle."
FND-50278,INS-10970,POL-2020970,NCUA,2020-07-02,Medium,data classification and handling,An MRA has been issued related to data classification and handling. Examiners found that controls over testing of incident response procedures are not commensurate with the institution's risk profile and complexity.
FND-50279,INS-10970,POL-2020970,NCUA,2019-02-19,Low,logging and monitoring,"Examiners noted that the institution's information security program is generally satisfactory. Minor deficiencies were identified in logging and monitoring, which management has committed to address by next examination cycle."
FND-50280,INS-10366,POL-2021466,FRB,2021-02-01,Medium,third-party risk management,"Examiners identified deficiencies in the institution's third-party risk management. Specifically, the institution lacks documented procedures for documented recovery time objectives. Matters Requiring Attention (MRA) is being issued. Management response is required within 90 days."
FND-50281,INS-10526,POL-2020526,FDIC,2024-06-20,Low,privileged access controls,Review of privileged access controls found policies and procedures to be consistent with regulatory expectations. Routine observations were communicated to management informally.
FND-50282,INS-10526,POL-2020526,FDIC,2024-08-05,Medium,patch management program,"Examiners identified deficiencies in the institution's patch management program. Specifically, the institution lacks documented procedures for fourth-party risk assessment. Matters Requiring Attention (MRA) is being issued. Management response is required within 90 days."
FND-50283,INS-10526,POL-2020526,FDIC,2024-02-24,Medium,patch management program,An MRA has been issued related to patch management program. Examiners found that controls over timely application of security patches are not commensurate with the institution's risk profile and complexity.
FND-50284,INS-10526,POL-2020526,FDIC,2023-08-01,Low,data classification and handling,Review of data classification and handling found policies and procedures to be consistent with regulatory expectations. Routine observations were communicated to management informally.
FND-50285,INS-10325,POL-2021425,CFPB,2022-11-08,Medium,incident response capabilities,"Examiners identified deficiencies in the institution's incident response capabilities. Specifically, the institution lacks documented procedures for documented recovery time objectives. Matters Requiring Attention (MRA) is being issued. Management response is required within 90 days."
FND-50286,INS-10070,POL-2021170,FDIC,2023-11-11,Low,patch management program,"Examiners noted that the institution's information security program is generally satisfactory. Minor deficiencies were identified in patch management program, which management has committed to address by next examination cycle."
FND-50287,INS-10175,POL-2020175,FINRA,2023-02-12,High,patch management program,"The examination identified material weaknesses in the institution's patch management program. Specifically, the institution has not adequately addressed prior examination findings regarding testing of incident response procedures. An MRIA is being issued and elevated supervisory attention is warranted."
FND-50288,INS-10358,POL-2020358,FRB,2023-08-27,High,privileged access controls,"Matters Requiring Immediate Attention (MRIA) issued. Examiners found significant weaknesses in privileged access controls, including failure to encryption of data at rest. The Board must establish a remediation timeline within 30 days. Failure to remediate may result in formal enforcement action."
FND-50289,INS-10358,POL-2020358,FRB,2022-10-23,Medium,vendor due diligence procedures,"Examiners identified deficiencies in the institution's vendor due diligence procedures. Specifically, the institution lacks documented procedures for fourth-party risk assessment. Matters Requiring Attention (MRA) is being issued. Management response is required within 90 days."
FND-50290,INS-10043,POL-2020043,FRB,2021-10-28,Low,logging and monitoring,"Examiners noted that the institution's information security program is generally satisfactory. Minor deficiencies were identified in logging and monitoring, which management has committed to address by next examination cycle."
FND-50291,INS-10416,POL-2020416,SEC,2020-01-17,Medium,patch management program,The examination identified weaknesses in patch management program that warrant management attention. Testing revealed that timely application of security patches is not consistently performed across business lines. Remediation plan must be submitted.
FND-50292,INS-10344,POL-2020344,FRB,2023-03-31,Medium,vendor due diligence procedures,An MRA has been issued related to vendor due diligence procedures. Examiners found that controls over remediation of known critical vulnerabilities are not commensurate with the institution's risk profile and complexity.
FND-50293,INS-11026,POL-2021026,OCC,2021-08-23,Medium,cloud security governance,An MRA has been issued related to cloud security governance. Examiners found that controls over testing of incident response procedures are not commensurate with the institution's risk profile and complexity.
FND-50294,INS-11026,POL-2021026,OCC,2021-12-21,Low,vendor due diligence procedures,The institution maintains adequate controls over vendor due diligence procedures. Examiners recommend continued enhancement of monitoring procedures but identified no significant concerns.
FND-50295,INS-11026,POL-2021026,OCC,2021-01-14,Medium,identity and access management,An MRA has been issued related to identity and access management. Examiners found that controls over testing of incident response procedures are not commensurate with the institution's risk profile and complexity.
FND-50296,INS-10301,POL-2021401,CFPB,2020-05-05,Medium,data classification and handling,"Examiners identified deficiencies in the institution's data classification and handling. Specifically, the institution lacks documented procedures for periodic access recertification. Matters Requiring Attention (MRA) is being issued. Management response is required within 90 days."
FND-50297,INS-10301,POL-2021401,CFPB,2020-08-01,Medium,privileged access controls,An MRA has been issued related to privileged access controls. Examiners found that controls over testing of incident response procedures are not commensurate with the institution's risk profile and complexity.
FND-50298,INS-10101,POL-2020101,SEC,2020-05-29,Medium,incident response capabilities,"Examiners identified deficiencies in the institution's incident response capabilities. Specifically, the institution lacks documented procedures for encryption of data at rest. Matters Requiring Attention (MRA) is being issued. Management response is required within 90 days."
FND-50299,INS-10101,POL-2020101,SEC,2020-09-03,Low,identity and access management,The institution maintains adequate controls over identity and access management. Examiners recommend continued enhancement of monitoring procedures but identified no significant concerns.
FND-50300,INS-10107,POL-2020107,OCC,2020-03-31,Medium,data loss prevention controls,The examination identified weaknesses in data loss prevention controls that warrant management attention. Testing revealed that segregation of duties in critical systems is not consistently performed across business lines. Remediation plan must be submitted.
FND-50301,INS-10107,POL-2020107,OCC,2020-10-08,High,incident response capabilities,"The examination identified material weaknesses in the institution's incident response capabilities. Specifically, the institution has not adequately addressed prior examination findings regarding segregation of duties in critical systems. An MRIA is being issued and elevated supervisory attention is warranted."
FND-50302,INS-10389,POL-2021489,FINRA,2021-03-16,Medium,vendor due diligence procedures,"Examiners identified deficiencies in the institution's vendor due diligence procedures. Specifically, the institution lacks documented procedures for timely application of security patches. Matters Requiring Attention (MRA) is being issued. Management response is required within 90 days."
FND-50303,INS-11052,POL-2021052,CFPB,2021-12-27,Low,logging and monitoring,Review of logging and monitoring found policies and procedures to be consistent with regulatory expectations. Routine observations were communicated to management informally.
FND-50304,INS-11052,POL-2021052,CFPB,2021-12-01,Low,third-party risk management,Review of third-party risk management found policies and procedures to be consistent with regulatory expectations. Routine observations were communicated to management informally.
FND-50305,INS-10964,POL-2020964,NCUA,2023-08-15,Medium,vendor due diligence procedures,"Examiners identified deficiencies in the institution's vendor due diligence procedures. Specifically, the institution lacks documented procedures for encryption of data at rest. Matters Requiring Attention (MRA) is being issued. Management response is required within 90 days."
FND-50306,INS-10380,POL-2020380,NCUA,2020-01-24,Medium,incident response capabilities,An MRA has been issued related to incident response capabilities. Examiners found that controls over testing of incident response procedures are not commensurate with the institution's risk profile and complexity.
FND-50307,INS-10244,POL-2020244,FDIC,2019-06-01,High,cloud security governance,Examiners conclude that the institution's practices in cloud security governance represent an unsafe and unsound condition. The institution has failed to periodic access recertification. A consent order is under consideration.
FND-50308,INS-11099,POL-2021099,OCC,2023-04-14,High,identity and access management,"Matters Requiring Immediate Attention (MRIA) issued. Examiners found significant weaknesses in identity and access management, including failure to periodic access recertification. The Board must establish a remediation timeline within 30 days. Failure to remediate may result in formal enforcement action."
FND-50309,INS-11099,POL-2021099,OCC,2022-01-19,Low,vendor due diligence procedures,The institution maintains adequate controls over vendor due diligence procedures. Examiners recommend continued enhancement of monitoring procedures but identified no significant concerns.
FND-50310,INS-10500,POL-2020500,FDIC,2021-07-29,Medium,vendor due diligence procedures,The examination identified weaknesses in vendor due diligence procedures that warrant management attention. Testing revealed that multi-factor authentication for administrative access is not consistently performed across business lines. Remediation plan must be submitted.
FND-50311,INS-10500,POL-2020500,FDIC,2022-04-12,Low,privileged access controls,The institution maintains adequate controls over privileged access controls. Examiners recommend continued enhancement of monitoring procedures but identified no significant concerns.
FND-50312,INS-10500,POL-2020500,FDIC,2021-12-22,Low,identity and access management,"Examiners noted that the institution's information security program is generally satisfactory. Minor deficiencies were identified in identity and access management, which management has committed to address by next examination cycle."
FND-50313,INS-10700,POL-2020700,FDIC,2023-04-21,Low,logging and monitoring,The institution maintains adequate controls over logging and monitoring. Examiners recommend continued enhancement of monitoring procedures but identified no significant concerns.
FND-50314,INS-10700,POL-2020700,FDIC,2021-11-13,Low,third-party risk management,Review of third-party risk management found policies and procedures to be consistent with regulatory expectations. Routine observations were communicated to management informally.
FND-50315,INS-10700,POL-2020700,FDIC,2021-10-03,Low,third-party risk management,"Examiners noted that the institution's information security program is generally satisfactory. Minor deficiencies were identified in third-party risk management, which management has committed to address by next examination cycle."
FND-50316,INS-10128,POL-2020128,FRB,2019-08-29,Low,incident response capabilities,The institution maintains adequate controls over incident response capabilities. Examiners recommend continued enhancement of monitoring procedures but identified no significant concerns.
FND-50317,INS-10239,POL-2020239,CFPB,2023-05-14,Low,vulnerability management,"Examiners noted that the institution's information security program is generally satisfactory. Minor deficiencies were identified in vulnerability management, which management has committed to address by next examination cycle."
FND-50318,INS-10014,POL-2021114,FINRA,2020-02-11,Low,data classification and handling,"Examiners noted that the institution's information security program is generally satisfactory. Minor deficiencies were identified in data classification and handling, which management has committed to address by next examination cycle."
FND-50319,INS-10682,POL-2020682,OCC,2021-05-28,Medium,vulnerability management,"Examiners identified deficiencies in the institution's vulnerability management. Specifically, the institution lacks documented procedures for periodic access recertification. Matters Requiring Attention (MRA) is being issued. Management response is required within 90 days."
FND-50320,INS-10682,POL-2020682,OCC,2021-11-28,Medium,third-party risk management,"Examiners identified deficiencies in the institution's third-party risk management. Specifically, the institution lacks documented procedures for log retention and review. Matters Requiring Attention (MRA) is being issued. Management response is required within 90 days."
FND-50321,INS-10482,POL-2020482,CFPB,2020-04-02,Medium,business continuity planning,The examination identified weaknesses in business continuity planning that warrant management attention. Testing revealed that remediation of known critical vulnerabilities is not consistently performed across business lines. Remediation plan must be submitted.
FND-50322,INS-10205,POL-2021305,OCC,2020-04-09,Low,patch management program,The institution maintains adequate controls over patch management program. Examiners recommend continued enhancement of monitoring procedures but identified no significant concerns.
FND-50323,INS-10275,POL-2020275,State,2019-08-01,Medium,business continuity planning,"Examiners identified deficiencies in the institution's business continuity planning. Specifically, the institution lacks documented procedures for remediation of known critical vulnerabilities. Matters Requiring Attention (MRA) is being issued. Management response is required within 90 days."
FND-50324,INS-10582,POL-2020582,State,2022-10-11,Low,vendor due diligence procedures,Review of vendor due diligence procedures found policies and procedures to be consistent with regulatory expectations. Routine observations were communicated to management informally.
FND-50325,INS-10582,POL-2020582,State,2023-06-22,Low,incident response capabilities,"Examiners noted that the institution's information security program is generally satisfactory. Minor deficiencies were identified in incident response capabilities, which management has committed to address by next examination cycle."
FND-50326,INS-10203,POL-2020203,FRB,2022-03-16,High,privileged access controls,"Matters Requiring Immediate Attention (MRIA) issued. Examiners found significant weaknesses in privileged access controls, including failure to fourth-party risk assessment. The Board must establish a remediation timeline within 30 days. Failure to remediate may result in formal enforcement action."
FND-50327,INS-10032,POL-2020032,NCUA,2018-11-15,High,data loss prevention controls,"The examination identified material weaknesses in the institution's data loss prevention controls. Specifically, the institution has not adequately addressed prior examination findings regarding fourth-party risk assessment. An MRIA is being issued and elevated supervisory attention is warranted."
FND-50328,INS-10032,POL-2020032,NCUA,2018-05-03,Low,incident response capabilities,"Examiners noted that the institution's information security program is generally satisfactory. Minor deficiencies were identified in incident response capabilities, which management has committed to address by next examination cycle."
FND-50329,INS-10032,POL-2020032,NCUA,2019-12-04,Low,patch management program,"Examiners noted that the institution's information security program is generally satisfactory. Minor deficiencies were identified in patch management program, which management has committed to address by next examination cycle."
FND-50330,INS-10219,POL-2021319,CFPB,2022-09-22,High,vendor due diligence procedures,"The examination identified material weaknesses in the institution's vendor due diligence procedures. Specifically, the institution has not adequately addressed prior examination findings regarding fourth-party risk assessment. An MRIA is being issued and elevated supervisory attention is warranted."
FND-50331,INS-10813,POL-2020813,NCUA,2021-11-21,Medium,third-party risk management,An MRA has been issued related to third-party risk management. Examiners found that controls over timely application of security patches are not commensurate with the institution's risk profile and complexity.
FND-50332,INS-10997,POL-2020997,FDIC,2020-12-06,Low,logging and monitoring,Review of logging and monitoring found policies and procedures to be consistent with regulatory expectations. Routine observations were communicated to management informally.
FND-50333,INS-10381,POL-2020381,FRB,2019-03-22,Medium,privileged access controls,The examination identified weaknesses in privileged access controls that warrant management attention. Testing revealed that encryption of data at rest is not consistently performed across business lines. Remediation plan must be submitted.
FND-50334,INS-11073,POL-2021073,FRB,2020-08-17,Medium,privileged access controls,An MRA has been issued related to privileged access controls. Examiners found that controls over multi-factor authentication for administrative access are not commensurate with the institution's risk profile and complexity.
FND-50335,INS-11073,POL-2021073,FRB,2021-05-07,Low,cloud security governance,"Examiners noted that the institution's information security program is generally satisfactory. Minor deficiencies were identified in cloud security governance, which management has committed to address by next examination cycle."
FND-50336,INS-10248,POL-2021348,FRB,2023-04-06,Low,privileged access controls,Review of privileged access controls found policies and procedures to be consistent with regulatory expectations. Routine observations were communicated to management informally.
FND-50337,INS-10248,POL-2021348,FRB,2021-12-22,Medium,cloud security governance,The examination identified weaknesses in cloud security governance that warrant management attention. Testing revealed that documented recovery time objectives is not consistently performed across business lines. Remediation plan must be submitted.
FND-50338,INS-10578,POL-2020578,FINRA,2023-10-13,Medium,vulnerability management,An MRA has been issued related to vulnerability management. Examiners found that controls over log retention and review are not commensurate with the institution's risk profile and complexity.
FND-50339,INS-10578,POL-2020578,FINRA,2023-03-07,Medium,logging and monitoring,"Examiners identified deficiencies in the institution's logging and monitoring. Specifically, the institution lacks documented procedures for documented recovery time objectives. Matters Requiring Attention (MRA) is being issued. Management response is required within 90 days."
FND-50340,INS-10578,POL-2020578,FINRA,2022-11-07,Medium,vendor due diligence procedures,The examination identified weaknesses in vendor due diligence procedures that warrant management attention. Testing revealed that documented recovery time objectives is not consistently performed across business lines. Remediation plan must be submitted.
FND-50341,INS-10887,POL-2020887,NCUA,2022-10-12,Low,incident response capabilities,The institution maintains adequate controls over incident response capabilities. Examiners recommend continued enhancement of monitoring procedures but identified no significant concerns.
FND-50342,INS-10887,POL-2020887,NCUA,2021-10-14,Low,logging and monitoring,"Examiners noted that the institution's information security program is generally satisfactory. Minor deficiencies were identified in logging and monitoring, which management has committed to address by next examination cycle."
FND-50343,INS-10225,POL-2021325,State,2019-06-23,Low,business continuity planning,"Examiners noted that the institution's information security program is generally satisfactory. Minor deficiencies were identified in business continuity planning, which management has committed to address by next examination cycle."
FND-50344,INS-10226,POL-2021326,SEC,2022-11-03,Medium,cloud security governance,An MRA has been issued related to cloud security governance. Examiners found that controls over documented recovery time objectives are not commensurate with the institution's risk profile and complexity.
FND-50345,INS-10941,POL-2020941,NCUA,2023-08-26,Medium,privileged access controls,"Examiners identified deficiencies in the institution's privileged access controls. Specifically, the institution lacks documented procedures for log retention and review. Matters Requiring Attention (MRA) is being issued. Management response is required within 90 days."
FND-50346,INS-10163,POL-2020163,SEC,2022-10-31,Medium,patch management program,The examination identified weaknesses in patch management program that warrant management attention. Testing revealed that fourth-party risk assessment is not consistently performed across business lines. Remediation plan must be submitted.
FND-50347,INS-10909,POL-2020909,OCC,2021-04-03,Low,logging and monitoring,Review of logging and monitoring found policies and procedures to be consistent with regulatory expectations. Routine observations were communicated to management informally.
FND-50348,INS-10297,POL-2020297,OCC,2021-03-31,Low,cloud security governance,"Examiners noted that the institution's information security program is generally satisfactory. Minor deficiencies were identified in cloud security governance, which management has committed to address by next examination cycle."
FND-50349,INS-10755,POL-2020755,FDIC,2019-06-29,High,incident response capabilities,Examiners conclude that the institution's practices in incident response capabilities represent an unsafe and unsound condition. The institution has failed to encryption of data at rest. A consent order is under consideration.
FND-50350,INS-10405,POL-2020405,State,2019-08-26,High,vulnerability management,Examiners conclude that the institution's practices in vulnerability management represent an unsafe and unsound condition. The institution has failed to documented recovery time objectives. A consent order is under consideration.
FND-50351,INS-10405,POL-2020405,State,2020-10-01,High,logging and monitoring,Examiners conclude that the institution's practices in logging and monitoring represent an unsafe and unsound condition. The institution has failed to segregation of duties in critical systems. A consent order is under consideration.
FND-50352,INS-10968,POL-2020968,SEC,2021-07-29,Medium,data classification and handling,"Examiners identified deficiencies in the institution's data classification and handling. Specifically, the institution lacks documented procedures for remediation of known critical vulnerabilities. Matters Requiring Attention (MRA) is being issued. Management response is required within 90 days."
FND-50353,INS-10605,POL-2020605,NCUA,2023-05-22,High,vulnerability management,Examiners conclude that the institution's practices in vulnerability management represent an unsafe and unsound condition. The institution has failed to periodic access recertification. A consent order is under consideration.
FND-50354,INS-10605,POL-2020605,NCUA,2022-02-01,High,data loss prevention controls,"The examination identified material weaknesses in the institution's data loss prevention controls. Specifically, the institution has not adequately addressed prior examination findings regarding multi-factor authentication for administrative access. An MRIA is being issued and elevated supervisory attention is warranted."
FND-50355,INS-10420,POL-2020420,SEC,2020-08-27,Medium,business continuity planning,The examination identified weaknesses in business continuity planning that warrant management attention. Testing revealed that remediation of known critical vulnerabilities is not consistently performed across business lines. Remediation plan must be submitted.
FND-50356,INS-10464,POL-2020464,CFPB,2020-03-24,Low,vulnerability management,The institution maintains adequate controls over vulnerability management. Examiners recommend continued enhancement of monitoring procedures but identified no significant concerns.
FND-50357,INS-10464,POL-2020464,CFPB,2021-05-20,High,patch management program,Examiners conclude that the institution's practices in patch management program represent an unsafe and unsound condition. The institution has failed to periodic access recertification. A consent order is under consideration.
FND-50358,INS-10087,POL-2021187,SEC,2020-10-17,Low,business continuity planning,The institution maintains adequate controls over business continuity planning. Examiners recommend continued enhancement of monitoring procedures but identified no significant concerns.
FND-50359,INS-10939,POL-2020939,FDIC,2022-10-22,Low,vendor due diligence procedures,"Examiners noted that the institution's information security program is generally satisfactory. Minor deficiencies were identified in vendor due diligence procedures, which management has committed to address by next examination cycle."
FND-50360,INS-10939,POL-2020939,FDIC,2022-08-09,Low,incident response capabilities,The institution maintains adequate controls over incident response capabilities. Examiners recommend continued enhancement of monitoring procedures but identified no significant concerns.
FND-50361,INS-10939,POL-2020939,FDIC,2022-04-16,Medium,cloud security governance,The examination identified weaknesses in cloud security governance that warrant management attention. Testing revealed that documented recovery time objectives is not consistently performed across business lines. Remediation plan must be submitted.
FND-50362,INS-10192,POL-2020192,SEC,2023-11-17,Medium,vulnerability management,The examination identified weaknesses in vulnerability management that warrant management attention. Testing revealed that remediation of known critical vulnerabilities is not consistently performed across business lines. Remediation plan must be submitted.
FND-50363,INS-10192,POL-2020192,SEC,2024-02-28,Medium,privileged access controls,The examination identified weaknesses in privileged access controls that warrant management attention. Testing revealed that log retention and review is not consistently performed across business lines. Remediation plan must be submitted.
FND-50364,INS-10674,POL-2020674,SEC,2022-06-25,Medium,data classification and handling,"Examiners identified deficiencies in the institution's data classification and handling. Specifically, the institution lacks documented procedures for timely application of security patches. Matters Requiring Attention (MRA) is being issued. Management response is required within 90 days."
FND-50365,INS-10351,POL-2020351,FRB,2022-08-21,Low,vendor due diligence procedures,Review of vendor due diligence procedures found policies and procedures to be consistent with regulatory expectations. Routine observations were communicated to management informally.
FND-50366,INS-10351,POL-2020351,FRB,2023-02-19,Low,vulnerability management,The institution maintains adequate controls over vulnerability management. Examiners recommend continued enhancement of monitoring procedures but identified no significant concerns.
FND-50367,INS-10351,POL-2020351,FRB,2022-01-25,Low,data classification and handling,Review of data classification and handling found policies and procedures to be consistent with regulatory expectations. Routine observations were communicated to management informally.
FND-50368,INS-10858,POL-2020858,CFPB,2020-08-21,High,incident response capabilities,"The examination identified material weaknesses in the institution's incident response capabilities. Specifically, the institution has not adequately addressed prior examination findings regarding log retention and review. An MRIA is being issued and elevated supervisory attention is warranted."
FND-50369,INS-10063,POL-2020063,NCUA,2022-10-18,Medium,cloud security governance,An MRA has been issued related to cloud security governance. Examiners found that controls over fourth-party risk assessment are not commensurate with the institution's risk profile and complexity.
FND-50370,INS-10063,POL-2020063,NCUA,2022-07-07,Low,privileged access controls,"Examiners noted that the institution's information security program is generally satisfactory. Minor deficiencies were identified in privileged access controls, which management has committed to address by next examination cycle."
FND-50371,INS-10073,POL-2021173,NCUA,2020-12-22,Medium,identity and access management,An MRA has been issued related to identity and access management. Examiners found that controls over multi-factor authentication for administrative access are not commensurate with the institution's risk profile and complexity.
